name,age,season,tournament,club,apps,mins,shots (off target),shots (on target),shots (blocked),goals,outside_of_box_goals,unsuccessful_dribbles,successful_dribbles,unsuccesful_touches,dispossessed,aerial_won,aerial_lost,total_passes,accurate_long_pass,inaccurate_long_pass,accurate_short_pass,inaccurate_short_pass,accurate_crosses,inaccurate_crosses,long_key_pass,short_key_pass,assists
Memphis Depay,28.0,2022,WC,Netherlands,3.0,269.0,2.3,3.7,1.7,0.7,0.3,1.7,4.0,2.7,1.7,1.0,0.7,71.3,1.3,1.0,57.0,12.0,71.3,1.3,1.7,3.7,0.7
Memphis Depay,27.0,2021,FL1,Lyon,34.0,2662.0,1.0,1.4,0.4,0.5,0.1,2.0,2.0,3.2,1.6,0.4,0.7,29.3,1.1,0.6,21.3,6.4,29.3,1.1,0.5,2.0,0.3
Memphis Depay,27.0,2021,UNL,Netherlands,5.0,439.0,1.2,1.6,1.8,0.4,undefined,1.6,3.6,4.2,1.4,0.4,1.0,35.6,1.2,0.6,26.8,7.0,35.6,1.2,1.0,1.4,0.2
Memphis Depay,26.0,2020,FL1,Lyon,13.0,1022.0,1.2,1.6,0.9,0.7,0.2,1.6,2.0,2.7,1.5,0.2,0.6,33.8,1.2,1.1,25.5,6.1,33.8,1.2,0.7,1.2,0.2
Memphis Depay,26.0,2020,UCL,Lyon,8.0,595.0,0.6,1.5,0.5,0.8,undefined,1.0,1.8,2.1,1.9,0.5,1.1,27.5,1.3,0.5,20.1,5.6,27.5,1.3,0.5,1.1,undefined
Memphis Depay,25.0,2019,UCL,Lyon,8.0,618.0,0.6,0.6,0.8,0.1,undefined,1.5,0.8,2.0,2.1,0.3,1.9,29.9,0.8,0.8,23.9,4.5,29.9,0.8,0.8,2.5,0.5
Memphis Depay,25.0,2019,FL1,Lyon,36.0,2737.0,1.0,1.1,0.9,0.3,0.1,1.2,1.7,2.3,1.8,0.3,0.5,34.8,1.4,0.9,26.5,6.1,34.8,1.4,1.0,2.1,0.3
Memphis Depay,25.0,2019,UNL,Netherlands,6.0,540.0,1.0,1.8,0.7,0.3,undefined,1.7,1.8,4.0,2.8,0.5,1.3,37.8,2.7,1.8,25.5,7.8,37.8,2.7,0.8,1.5,0.2
Memphis Depay,24.0,2018,UEL,Lyon,10.0,688.0,0.3,1.0,0.5,0.3,0.1,1.6,1.9,2.1,1.6,0.1,0.3,30.0,0.8,0.7,22.5,6.0,30.0,0.8,0.2,1.3,0.3
Memphis Depay,24.0,2018,FL1,Lyon,36.0,2564.0,0.9,1.3,0.8,0.5,0.2,1.4,1.6,2.5,1.8,0.2,0.8,31.0,0.9,0.5,23.8,5.8,31.0,0.9,0.7,1.4,0.4
Memphis Depay,23.0,2017,EPL,ManchesterUnited,4.0,20.0,undefined,undefined,undefined,undefined,undefined,0.3,undefined,0.5,0.5,undefined,0.3,3.5,undefined,undefined,2.5,1.0,3.5,undefined,undefined,undefined,undefined
Memphis Depay,23.0,2017,FL1,Lyon,16.0,1099.0,1.4,1.1,0.4,0.3,0.1,2.3,2.5,2.6,2.3,0.3,0.8,32.2,1.3,0.6,24.6,5.8,32.2,1.3,0.5,1.5,0.4
Memphis Depay,23.0,2017,UEL,ManchesterUnited,3.0,59.0,0.7,undefined,1.0,undefined,undefined,undefined,0.3,1.0,2.0,0.3,0.3,12.0,undefined,undefined,11.3,0.7,12.0,undefined,0.3,0.7,undefined
Memphis Depay,22.0,2016,UEL,ManchesterUnited,3.0,270.0,0.7,2.0,2.0,0.7,0.3,2.7,7.7,2.0,2.3,0.3,1.7,34.0,0.3,0.7,25.3,7.7,34.0,0.3,0.3,1.3,undefined
Memphis Depay,22.0,2016,UCL,ManchesterUnited,6.0,327.0,0.7,1.3,0.7,0.2,undefined,2.0,1.2,1.7,1.0,0.3,0.2,23.5,0.3,0.2,17.3,5.7,23.5,0.3,undefined,0.8,undefined
Memphis Depay,22.0,2016,EPL,ManchesterUnited,29.0,1478.0,0.8,0.6,0.6,0.1,undefined,1.1,1.0,1.7,2.4,0.3,0.6,22.1,0.8,0.4,17.1,3.8,22.1,0.8,0.1,0.3,undefined
Memphis Depay,21.0,2015,UEL,PSVEindhoven,6.0,494.0,1.8,1.5,0.8,0.5,undefined,2.8,2.0,2.0,2.0,0.2,0.3,28.7,1.7,0.8,19.7,6.5,28.7,1.7,undefined,1.0,undefined
Memphis Depay,21.0,2015,NE,PSVEindhoven,30.0,2565.0,2.4,2.1,0.9,0.7,0.3,2.3,2.7,3.1,2.5,0.3,0.4,32.0,1.5,0.8,22.4,7.3,32.0,1.5,0.3,1.8,0.2
Memphis Depay,20.0,2014,UEL,PSVEindhoven,6.0,531.0,1.7,1.3,1.0,0.2,0.2,1.7,3.7,2.3,3.2,1.2,0.5,35.8,1.0,1.2,24.2,9.5,35.8,1.0,0.2,1.7,0.2
Memphis Depay,20.0,2014,NE,PSVEindhoven,32.0,2705.0,2.1,2.0,0.9,0.4,0.2,2.3,3.2,3.4,3.1,0.4,0.8,33.3,1.6,0.8,24.1,6.9,33.3,1.6,0.6,2.1,0.2
Memphis Depay,20.0,2014,WC,Netherlands,4.0,174.0,undefined,1.0,0.5,0.5,0.3,2.5,2.3,0.8,1.8,0.5,undefined,14.5,undefined,0.3,11.3,3.0,14.5,undefined,undefined,0.5,0.3
Memphis Depay,19.0,2013,IEU,NetherlandsU21,3.0,119.0,0.3,0.3,0.7,undefined,undefined,1.7,0.3,0.3,1.3,undefined,undefined,9.3,0.3,0.3,6.7,2.0,9.3,0.3,0.3,0.7,0.3
Memphis Depay,19.0,2013,UEL,PSVEindhoven,4.0,145.0,1.0,0.5,0.5,undefined,undefined,1.5,1.3,1.3,0.5,undefined,0.3,11.0,0.3,0.5,8.3,2.0,11.0,0.3,0.3,1.0,0.3
Steven Berghuis,28.0,2022,WC,Netherlands,3.0,255.0,0.7,1.3,0.3,0.7,0.3,2.0,1.7,1.7,0.7,0.7,0.7,57.3,2.3,0.7,47.0,7.3,57.3,2.3,1.7,2.7,0.3
Steven Berghuis,27.0,2021,NE,Feyenoord,29.0,2471.0,1.4,1.5,0.6,0.6,0.2,1.4,1.4,2.3,1.6,0.2,0.2,50.9,4.5,2.2,36.6,7.6,50.9,4.5,0.8,2.2,0.4
Steven Berghuis,27.0,2021,UEL,Feyenoord,6.0,532.0,1.2,1.5,0.5,0.2,undefined,2.0,1.2,2.8,0.3,0.2,0.5,49.8,5.7,1.7,32.7,9.8,49.8,5.7,0.3,1.7,0.2
Steven Berghuis,27.0,2021,UNL,Netherlands,3.0,130.0,1.7,1.3,0.7,undefined,undefined,undefined,0.3,0.3,0.3,undefined,0.3,27.0,1.7,1.3,19.0,5.0,27.0,1.7,0.3,1.7,0.7
Steven Berghuis,26.0,2020,NE,Feyenoord,24.0,2109.0,1.1,1.8,0.8,0.6,0.1,1.8,1.4,1.5,1.2,0.2,0.3,49.5,3.2,1.8,36.8,7.8,49.5,3.2,0.8,1.9,0.3
Steven Berghuis,26.0,2020,UEL,Feyenoord,6.0,540.0,0.7,0.8,0.5,0.2,undefined,1.0,0.8,2.0,0.5,0.2,0.5,45.3,3.5,1.3,32.3,8.2,45.3,3.5,0.8,2.2,undefined
Steven Berghuis,25.0,2019,NE,Feyenoord,33.0,2878.0,1.3,1.5,0.8,0.4,0.1,1.2,2.0,1.9,1.2,0.2,0.3,58.2,4.5,1.9,41.8,9.9,58.2,4.5,1.1,2.4,0.4
Steven Berghuis,24.0,2018,UCL,Feyenoord,6.0,466.0,0.5,1.3,0.5,0.2,undefined,1.2,1.2,2.3,0.7,0.2,0.7,29.2,2.8,2.0,18.2,6.2,29.2,2.8,0.7,1.0,0.3
Steven Berghuis,24.0,2018,NE,Feyenoord,31.0,2597.0,1.0,1.2,0.6,0.6,0.2,1.7,2.5,1.7,1.4,0.4,0.5,49.4,4.0,1.5,34.7,9.1,49.4,4.0,0.5,1.6,0.4
Steven Berghuis,23.0,2017,NE,Feyenoord,30.0,2110.0,0.8,0.8,0.5,0.2,0.1,1.3,1.2,1.3,0.7,0.4,0.4,38.1,2.7,1.6,27.6,6.3,38.1,2.7,0.7,1.4,0.2
Steven Berghuis,23.0,2017,UEL,Feyenoord,3.0,154.0,undefined,0.3,0.3,undefined,undefined,0.7,undefined,0.7,1.0,undefined,0.3,23.3,1.0,0.7,18.0,3.7,23.3,1.0,undefined,0.7,undefined
Steven Berghuis,22.0,2016,EPL,Watford,9.0,222.0,0.3,0.4,0.1,undefined,undefined,0.3,0.4,0.7,0.2,undefined,0.6,9.6,1.2,0.3,5.7,2.3,9.6,1.2,0.3,0.6,0.2
Steven Berghuis,21.0,2015,NE,AZAlkmaar,22.0,1690.0,1.1,1.2,0.4,0.5,0.1,1.8,1.8,1.9,1.0,0.6,0.7,29.6,1.6,1.2,19.9,6.9,29.6,1.6,0.2,1.2,0.2
Steven Berghuis,20.0,2014,UEL,AZAlkmaar,5.0,372.0,0.4,0.8,1.6,undefined,undefined,1.4,2.4,1.8,0.6,0.2,0.4,30.2,2.8,0.8,22.2,4.4,30.2,2.8,undefined,1.2,undefined
Steven Berghuis,20.0,2014,NE,AZAlkmaar,29.0,1719.0,1.0,1.0,0.4,0.3,0.1,1.3,1.3,1.2,1.1,0.2,0.4,27.9,2.5,1.0,19.3,5.0,27.9,2.5,0.4,1.1,0.2
Dusan Tadic,30.0,2022,WC,Serbia,3.0,235.0,0.3,0.3,undefined,undefined,undefined,0.3,2.3,2.3,1.3,0.7,1.0,38.3,2.0,0.7,29.7,6.0,38.3,2.0,1.3,4.7,1.3
Dusan Tadic,29.0,2021,NE,Ajax,30.0,2336.0,0.8,1.0,0.5,0.5,undefined,0.8,1.4,1.9,1.7,0.5,0.6,34.4,0.9,1.0,25.5,6.9,34.4,0.9,1.0,2.9,0.5
Dusan Tadic,29.0,2021,UEL,Ajax,6.0,540.0,0.7,1.8,0.3,0.5,undefined,0.3,0.8,3.2,1.7,0.7,1.5,36.3,1.2,0.7,24.7,9.8,36.3,1.2,0.5,3.0,0.3
Dusan Tadic,29.0,2021,UCL,Ajax,6.0,540.0,0.2,0.7,0.2,0.3,undefined,1.5,1.0,2.5,2.7,0.5,2.8,37.8,0.3,1.2,28.7,7.7,37.8,0.3,undefined,2.5,0.5
Dusan Tadic,29.0,2021,UNL,Serbia,4.0,349.0,0.3,0.3,0.5,undefined,undefined,1.3,3.3,3.3,2.3,0.3,1.8,28.5,1.0,0.8,18.5,8.3,28.5,1.0,1.0,2.0,undefined
Dusan Tadic,28.0,2020,NE,Ajax,25.0,2172.0,0.7,1.0,0.8,0.4,undefined,0.6,1.2,2.3,2.5,0.4,0.8,38.0,1.0,0.8,28.2,8.0,38.0,1.0,0.4,3.2,0.6
Dusan Tadic,28.0,2020,UEL,Ajax,2.0,180.0,0.5,undefined,undefined,undefined,undefined,undefined,undefined,2.5,1.5,2.0,1.0,32.0,undefined,0.5,21.0,10.5,32.0,undefined,undefined,0.5,undefined
Dusan Tadic,28.0,2020,UCL,Ajax,6.0,540.0,0.5,0.2,0.3,undefined,undefined,0.7,1.2,2.7,1.8,1.2,1.3,29.0,1.2,0.3,21.8,5.7,29.0,1.2,undefined,1.7,0.5
Dusan Tadic,27.0,2019,NE,Ajax,34.0,2909.0,0.4,1.4,0.4,0.8,undefined,1.0,1.4,2.7,2.3,0.4,0.4,41.9,0.8,1.1,30.9,9.1,41.9,0.8,0.2,2.5,0.4
