Id,MS SubClass,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,BsmtFin SF 1,Total Bsmt SF,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Area,Wood Deck SF,Open Porch SF,SalePrice,remodeled,post_recession_sale,HasAlley,has_brick_face,has_basement,has_attached_garage,has_decent_garage,has_nice_fence,newer,pre_war,two_story,planned_development,split,floating_village,low_density_residential,gravel_street,on_hill,in_culdesac,good_hood,bad_hood,near_artery_or_feeder,has_hip_roof,nice_exterior,has_poured_concrete_foundation,poor_functionality,has_fireplace,has_paved_drive,has_porch_or_deck,log_overall_cond,log_lot_area,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker
109.0,60.0,13517.0,6.0,8.0,1976.0,2005.0,533.0,725.0,1.0,725.0,754.0,0.0,1479.0,0.0,2.0,3.0,3.0,6.0,0.0,475.0,0.0,44.0,130500.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,1,1,2.0794415416798357,9.511703431483827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
544.0,60.0,11492.0,7.0,5.0,1996.0,1997.0,637.0,913.0,1.0,913.0,1209.0,0.0,2122.0,1.0,2.0,4.0,3.0,8.0,1.0,559.0,0.0,74.0,220000.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,1,1,1,1.6094379124341003,9.34940642009918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153.0,20.0,7922.0,5.0,7.0,1953.0,2007.0,731.0,1057.0,1.0,1057.0,0.0,0.0,1057.0,1.0,1.0,3.0,3.0,5.0,0.0,246.0,0.0,52.0,109000.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,1.9459101490553132,8.977398978181862,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
318.0,60.0,9802.0,5.0,5.0,2006.0,2007.0,0.0,384.0,1.0,744.0,700.0,0.0,1444.0,0.0,2.0,3.0,2.0,7.0,0.0,400.0,100.0,0.0,174000.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,1.6094379124341003,9.190341725469493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
255.0,50.0,14235.0,6.0,8.0,1945.0,1993.0,0.0,676.0,1.0,831.0,614.0,0.0,1445.0,0.0,2.0,3.0,2.0,6.0,0.0,484.0,0.0,59.0,138500.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,2.0794415416798357,9.563458999712138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
138.0,20.0,16492.0,6.0,6.0,1966.0,2002.0,247.0,1517.0,1.0,1888.0,0.0,0.0,1888.0,0.0,2.0,2.0,3.0,6.0,1.0,578.0,0.0,0.0,190000.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,1,0,1.791759469228055,9.71063069382679,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2827.0,180.0,3675.0,6.0,5.0,2005.0,2006.0,547.0,547.0,1.0,1072.0,0.0,0.0,1072.0,1.0,2.0,2.0,2.0,5.0,0.0,525.0,0.0,44.0,140000.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1.6094379124341003,8.209308411646937,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145.0,20.0,12160.0,5.0,5.0,1959.0,1959.0,1000.0,1188.0,1.0,1188.0,0.0,0.0,1188.0,1.0,1.0,3.0,2.0,6.0,0.0,531.0,0.0,0.0,142000.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,0,1.6094379124341003,9.405907155520158,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1942.0,20.0,15783.0,5.0,5.0,1952.0,1952.0,292.0,924.0,1.0,924.0,0.0,0.0,924.0,0.0,1.0,2.0,2.0,6.0,0.0,420.0,0.0,324.0,112500.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,1,1.6094379124341003,9.666688690398917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1956.0,60.0,11606.0,5.0,5.0,1969.0,1969.0,650.0,1040.0,1.0,1040.0,1040.0,0.0,2080.0,0.0,1.0,5.0,1.0,9.0,2.0,504.0,335.0,0.0,135000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,1,1,1.6094379124341003,9.359277484750553,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
