district,poverty level (2016)
Acton-Agua Dulce Unified,8.8
Ross Valley Elementary,3.5
Cuyama Joint Unified,22.3
Fort Sage Unified,8.1
Twin Ridges Elementary,27.1
Rocklin Unified,5.6
Hesperia Unified,27.6
Lucerne Valley Unified,33.1
Upland Unified,19.2
Apple Valley Unified,26.2
Mountain Valley Unified,25.1
Dublin Unified,4.3
Pleasanton Unified,3.5
Sunol Glen Unified,18.1
Mendota Unified,47.4
Manhattan Beach Unified,3.7
El Tejon Unified,21.5
Lake Elsinore Unified,16.3
Temecula Valley Unified,8
Murrieta Valley Unified,9.4
Pacific Unified,11.5
Redondo Beach Unified,6.2
Dos Palos-Oro Loma Joint Unified,25.4
Windsor Unified,6.3
Farmersville Unified,33.8
Natomas Unified,15.2
Ferndale Unified,10.3
Mattole Unified,8.6
Delhi Unified,19.6
Riverdale Joint Unified,30.3
Warner Unified,26.7
Scotts Valley Unified,4.4
Healdsburg Unified,9.8
Orland Joint Unified,24
Gonzales Unified,21.5
Tracy Unified,10.5
Paso Robles Joint Unified,15.8
Coast Unified,10.8
Gridley Unified,23
Eureka City Unified,22.2
Hughson Unified,17.3
Riverbank Unified,19.3
Oakdale Joint Unified,11.6
Waterford Unified,19.8
Porterville Unified,35.5
Dinuba Unified,30.5
Caruthers Unified,41.2
Golden Valley Unified,12.8
Valley Center-Pauma Unified,17.2
Chawanakee Unified,17.5
Alhambra Unified,22.6
Turlock Unified,15.7
Scott Valley Unified,24.8
Yosemite Unified,21.2
Trinity Alps Unified,24.5
Twin Rivers Unified,32.5
Hamilton Unified,25.8
Bishop Unified,15.8
Lammersville Joint Unified,8.1
Santa Barbara Unified,11.6
Washington Unified,44.8
Woodlake Unified,30.6
Fortuna Elementary,20.4
Santa Paula Unified,19.5
Exeter Unified,27
Bonsall Unified,13.4
Penn Valley Union Elementary,21.4
Wiseburn Unified,16.5
ABC Unified,15.6
Acalanes Union High,3.3
Ackerman Elementary,9.6
Adelanto Elementary,35.5
Alameda City Unified,10
Albany City Unified,6.8
Alexander Valley Union,11.3
Alisal Union Elementary,23.7
Allensworth Elementary,37.5
Alpaugh Unified,34.5
Alpine County Unified,26.7
Alpine Union Elementary,7.9
Alta Loma Elementary,11
Alta Vista Elementary,46.4
Alta-Dutch Flat Union Elementary,27.4
Alum Rock Union Elementary,19.8
Alview-Dairyland Union Elementary,29.8
Alvina Elementary,26.5
Alvord Unified,19.9
Amador County Unified,15.7
Anaheim Elementary,20.9
Anaheim Union High,17.4
West Sonoma County Union High,7.1
Anderson Union High,19.4
Anderson Valley Unified,26.5
Antelope Elementary,27.1
Antelope Valley Union Joint High,23
Antioch Unified,14.8
Arcadia Unified,11.6
Arcata Elementary,36.3
Northern Humboldt Union High,14.3
Arcohe Union Elementary,12.2
Arena Union Elementary,27.4
Armona Union Elementary,18.2
Arvin Union,35.8
Atascadero Unified,7.5
Atwater Elementary,24
Auburn Union Elementary,12.2
Azusa Unified,21.5
Baker Valley Unified,23.1
Bakersfield City,42.7
Baldwin Park Unified,24.8
Ballard Elementary,12.1
Ballico-Cressey Elementary,26.9
Bangor Union Elementary,21.4
Banning Unified,30.4
Banta Elementary,17.3
Barstow Unified,39.7
Bass Lake Joint Union Elementary,16.8
Bassett Unified,22.1
Bayshore Elementary,10.4
Bear Valley Unified,19.9
Beardsley Elementary,35.8
Beaumont Unified,14.4
Bella Vista Elementary,15.7
Bellevue Union,16.1
Bellflower Unified,18.8
Belleview Elementary,19.2
Belmont-Redwood Shores Elementary,3.2
Belridge Elementary,33.3
Benicia Unified,5.5
Bennett Valley Union Elementary,7.6
Berkeley Unified,9.1
Berryessa Union Elementary,9.8
Beverly Hills Unified,12.2
Big Creek Elementary,21.8
Big Lagoon Union Elementary,17.6
Big Pine Unified,23.9
Big Springs Union Elementary,27.3
Big Valley Joint Unified,14.5
